URL,Title,Company,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=ecade4bf9b384daf,검사 자동화 및 검사AI 분야 경력사원,LG이노텍,경기도 평택,,"C++,Labview, R, Python 등 ) - AI 관련학과 전공 및 검사공정 AI 경력 3년이상 보유자 (딥러닝 모델설계/학습/배포, 딥러닝 성능 개선 ) - Python 언어와 딥러닝 프레임워크 (Tensorflow..."
https://kr.indeed.com/viewjob?jk=8a9eab737d6e5fba,2020년 국내 석/박사 산학장학생,LG유플러스,서울,,"Hadoop, Hive, SQL 등 데이터 수집/가공 및 Java, python 등 개발 - 실시간 데이터 수집, 실시간 서비스 이용 현황 등 리얼타... 의미한 인사이트 발굴 - R, Python, SQL 등 Statistics..."
https://kr.indeed.com/viewjob?jk=1e974ff27c6eb340,Autonomous Driving 분야 엔지니어,포티투닷,서울 강남구,,"프로그래밍 기술 (C/C++, Python 등) - 이동 로봇/드론 관련... platform 개발 경험 - 뛰어난 프로그래밍 기술 (C/C++, Python) - 3D geometry, math, physics 관련 경험 및..."
https://kr.indeed.com/viewjob?jk=2695294aea6dc3b6,MongoDB Engineer 모집,카카오,성남 판교역,,수 있는 분 Linux/Network에 대한 기초 지식이 있는 분 우대 사항 C/C++ 또는 Python 언어를 이용한 프로그램 개발(프로젝트) 경험이 있는 분 MongoDB 트러블 슈팅 경험이 있는 분 MongoDB...
https://kr.indeed.com/viewjob?jk=7e0367165a333cab,맥시멈코퍼레이션(주) 신규 직원 [내일애온택트일자리박람회(인재육성형)],맥시멈코퍼레이션,경상남도 사천,,"서무, 경리 업무 홈페이지, PPT 자료생성 1)C/C++개발기능 2)QT Framework 개발 우대 3) Python 개발 우대 1)TurboJet 정비 유경험자 2)Turbo Prop 정비 유경헙자 관련업무 유경험자 포토..."
https://kr.indeed.com/viewjob?jk=58613b11ebe8779c,Deep Learning R&D Engineer,Intel,서울,,TensorFlow and PyTorch - Strong programming skills with Python Preferred Qualifications - Experience as a deep learning...
https://kr.indeed.com/viewjob?jk=8c8700db243d1a3c,Applications Engineer (Library Character...,Synopsys,서울,,"Working knowledge of scripting languages like TCL, Unix Shell, Python, or Perl. Prior AE/design experience is a plus. Working..."
https://kr.indeed.com/viewjob?jk=64cccd06b3362dcd,데이터분석 솔루션 개발자(python),비아이매트릭스,서울 강남구,,- 개발 경력 5년 이상 경력자 - python 능숙자 - java 가능자... 루션 개발자 ( python) 채용 모집부문 및 자격요건 모집분야 담당업무 자격요건 및 우대사항 데이터분석 솔루션 개발자 ( python) 채용 - 당사...
https://kr.indeed.com/viewjob?jk=e3ab407c65509ebd,Software Engineer (Backend),Streami,서울,"연봉 30,000,000원 - 80,000,000원","Experience in JavaScript, Python or Java... one of: Modern Javascript, Java, Python * Experience building and maintaining..."
https://kr.indeed.com/viewjob?jk=20d40ee61adffeca,챗봇 플랫폼 개발자 모집,카카오,성남 판교역,,"서비스에 대한 두려움이 없으신 분 서버 개발 Java, Scala, Kotlin 등의 JVM 기반 언어 및 Python을 이용해서 실서비스 개발 및 운영해보신 분 데이터 엔지니어 Kafka, Elasticsearch..."
https://kr.indeed.com/viewjob?jk=966cafe479e400bd,2020년 하반기 한국통계정보원 통계 분야(경력),재단법인 한국통계정보원,대전 서구,,"통계업무 경험 보유 - 통계 관련 업무(SAS, R, SPSS, Python 등) 경험자 [우대조건] - SAS/SQL을 이용한 데이터 분석/개발... SAS, R, SPSS, Python 등) 경험자 [우대조건] - SAS..."
https://kr.indeed.com/viewjob?jk=32ddc43c9f967017,[빅데이터플랫폼] 데이터 플랫폼 운영자,한국카카오은행,성남 분당구,,"실무 경험이 있는 분 · 클라우드 및 가상화(Docker, Kubernetes) 사용 경험이 있는 분 · Python, Shell Script 로 개발 경험이 있는 분 [공통 우대 사항] · 국가유공자 및 장애인 등 취업보호..."
https://kr.indeed.com/viewjob?jk=d1e75364ef505c68,"데이터 가치를 함께 발굴하실 머신러닝, 통계 모델링 전문가 모집",카카오,성남 판교역,,해당 기술에 자신감이 있으신 분도 환영합니다. 지원자격 머신 러닝/통계 등 모델링에 활용하는 언어( Python/Scala/R 등) 및 도구(Tensor flow/Pytorch 등)를 하나 이상 능숙하게 다룰 수 있으신...
https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9,추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,,"관련 업무 경험자 우대사항 운영체제, 네트워크, 컴파일러, 데이터베이스에 대한 이해가 깊으신 분 Python, C++, GPU 프로그래밍 숙련자 대용량/실시간 서비스 개발/운영 경험이 많으신 분 ICPC/TopCoder..."
https://kr.indeed.com/viewjob?jk=20b2579f0a3cf84d,데이터베이스 관리자(DBA),넥스트플로어,서울 서초구,,"Schema 분석 및 튜닝) • MySQL Config 튜닝 가능한 자 • 스크립트 개발 (ex. Shell, Python) 1개 이상 보유자 [우대사항] • AWS Aurora DB 운영 경험자 • Game DB 운영 및..."
https://kr.indeed.com/viewjob?jk=c53e8bbdcd7076f2,[해외취업] 고급 IT 엔지니어,株式会社ASCOM,대한민국,,"일본어 능력은 상관없음.  python,C++,C,C#,ASP.net,JAVA,VB.net,swift,IOS,Android,kotlin 중 한가지 이상 개발 경력이 3년 이상인 자. [ python] * AI, 사물 인터넷..."
https://kr.indeed.com/viewjob?jk=6accdaa3b4a31fb6,"[청년 디지털 일자리] 어플리케이션, 소프트웨어 개발, 인공지능(AI),...",에이치엠,대구 동구,"월급 2,000,000원 - 2,200,000원",분석 알고리즘 개발 - 빅데이터 분석 능력(상관분석 등) - Data/Web Crawling 능력 - Python 기반 코딩 능력 [우대사항] - 정보처리기사 - 컴퓨터공학 관련 전공 상세모집요강 접수기간/방법 시작일...
https://kr.indeed.com/viewjob?jk=f4190a8dbb8c05b1,[AI R&D] Language AI(NLP) Research 분야 수시...,엔씨소프트,성남 판교역,,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
